,logFC,AveExpr,t,P.Value,adj.P.Val,B
virus_comp_2265_cycle_1_9,0.106700955386484,1.52279925297792,6.37378894728892,1.53490414386644e-09,3.55023328476307e-06,11.4360333654279
virus_comp_315_cycle_1_1,0.132176612421186,1.79401010343427,6.09001718472241,5.17267647368044e-09,5.98220034181143e-06,10.276594572694
virus_comp_2103_cycle_1_7,0.111973602456918,1.43630332392234,6.2131789775846,9.11725982279941e-09,7.02940732337834e-06,9.79579745103906
virus_comp_12035_cycle_1_1,0.122617507343109,1.7545649396219,5.80605076062262,1.85938741238289e-08,1.07519077121041e-05,9.05409518893028
virus_comp_317_cycle_1_1,0.112492379199551,1.55020638678123,5.66956170010948,3.78757242468072e-08,1.55474668745288e-05,8.38269086052246
virus_comp_12035_cycle_1_2,0.114540789667687,1.77328342691125,5.63103321678229,4.62461423105293e-08,1.55474668745288e-05,8.19500209661544
virus_comp_317_cycle_1_3,0.111724616134606,1.54174737085742,5.67024356653685,4.70524289328583e-08,1.55474668745288e-05,8.1919698481425
virus_comp_17813_cycle_1_1,0.107483747426722,1.3251808363812,5.57528485401636,9.68951982518841e-08,2.67531031223686e-05,7.52737094495032
virus_comp_593_cycle_1_63,0.100642509225941,1.28392735068588,5.66836894622844,1.04097677518944e-07,2.67531031223686e-05,7.49434717945503
virus_comp_888_cycle_1_4,0.0717745406021909,1.20209204768564,5.35405369662569,1.9481945243679e-07,4.50617393486294e-05,6.8429701542458
virus_comp_126_cycle_1_210,0.0915967046429927,1.2681949268713,5.51501878487332,3.45787694880991e-07,6.65536368600482e-05,6.40027369958253
virus_comp_8731_cycle_1_5,0.077750331809332,1.20469592478794,5.31200345950101,3.34255403727067e-07,6.65536368600482e-05,6.36089399427348
virus_comp_1260_cycle_2_4,0.115374953154444,1.44256826884286,5.27519307637447,3.74058486459415e-07,6.65536368600482e-05,6.25290032703824
virus_comp_475_cycle_1_7,0.116897332599382,1.40682713999493,5.50264381273097,4.49329756703831e-07,7.42356948039973e-05,6.16982929273739
virus_comp_2375_cycle_1_4,0.0918523561133416,1.7209568148576,5.30492156267793,5.23211078093806e-07,8.06791482420649e-05,5.9751459110222
virus_comp_1260_cycle_2_20,0.109960549431964,1.38588137416552,5.21525623361443,6.17670083521381e-07,8.40394648932326e-05,5.79927818512617
edge_263_1,0.0784964692509619,1.21027048740852,5.13546978486681,6.15101097019754e-07,8.40394648932326e-05,5.76833003948328
virus_comp_2269_cycle_1_10,0.0964090851386244,1.59458688953886,5.1395641577989,7.23708891312017e-07,9.29965925335942e-05,5.63442780686366
virus_comp_593_cycle_1_28,0.0861887948093478,1.2808927667894,5.16709506461581,8.4348738885633e-07,0.000102683491074984,5.50934933850083
edge_1631_4,0.082721105941827,1.22287967095932,5.03812333359949,9.45590311584985e-07,0.000106033933886935,5.36391925635597
virus_comp_152_cycle_1_8,0.104823900340115,1.60901377463403,5.03803857944628,9.8015211314185e-07,0.000106033933886935,5.34504529428396
virus_comp_2103_cycle_1_9,0.0991840696271716,1.38830468044417,5.17186593390772,1.03785921032637e-06,0.000106033933886935,5.34399230354864
virus_comp_317_cycle_1_4,0.105090661302573,1.37985452237043,5.16666340237737,1.10022240090205e-06,0.000106033933886935,5.28034851966706
edge_1979_7,0.079414173039657,1.32171181712267,5.03351418326742,1.08753646807733e-06,0.000106033933886935,5.24665754572136
virus_comp_1727_cycle_1_2,0.0999767619849642,1.50791600884486,4.96465631929648,1.36742763768495e-06,0.000126514405038612,5.01747728914275
virus_comp_7998_cycle_1_4,0.0927570032706238,1.50377168860012,4.91962435972726,1.46074474513431e-06,0.000129950099826757,4.95063110365623
edge_1627_22,0.0782049387569314,1.25784268181154,4.93342262375461,1.53402953934184e-06,0.000131415197203618,4.90963656069381
edge_959_24,0.0830896902100614,1.4583342865601,4.94371624057191,1.6082242422833e-06,0.000132850809728617,4.87449868614184
virus_comp_8731_cycle_1_4,0.074767832626218,1.23654510516448,4.93261778294807,1.81526833536044e-06,0.00014290414228619,4.7684420605991
edge_1633_14,0.0903282765401051,1.3423702811834,4.96565198310195,1.85349082083255e-06,0.00014290414228619,4.76529981631715
edge_2254_6,0.0811557746064243,1.37363927925313,4.91603074841569,1.98041711499481e-06,0.000143147024593219,4.68588014994927
virus_comp_18020_cycle_1_4,0.0841134554965387,1.24522609518757,4.88132100575598,1.94670867206175e-06,0.000143147024593219,4.68482023433816
virus_comp_2473_cycle_1_6,0.0960748957573737,1.32268240370874,4.95093544275992,2.15239181944236e-06,0.000150863099344551,4.63093644347263
virus_comp_250_cycle_1_261,0.0895324175781722,1.40867622016918,4.89884397311559,2.45866797665336e-06,0.000156711218508703,4.49760092481126
virus_comp_1260_cycle_2_2,0.104745456600414,1.34414905264192,4.90626959791484,2.4958184185361e-06,0.000156711218508703,4.48956370284412
virus_comp_491_cycle_1_3,0.0898046960351382,1.29658531900059,4.83944818659513,2.46368441786482e-06,0.000156711218508703,4.47319256707958
edge_330_45,0.0746446719124176,1.26114077533626,4.82216730746102,2.50683747722525e-06,0.000156711218508703,4.44930550212363
virus_comp_36_cycle_2_46,0.0771963659715176,1.20553678163654,4.85650502614076,2.83825089443107e-06,0.000172759850495239,4.35874005674033
virus_comp_1260_cycle_2_21,0.0965426738671852,1.29533813427207,4.84543399716658,3.19354930019734e-06,0.00018940203926555,4.25631619274226
virus_comp_2089_cycle_1_4,0.0870758131134386,1.32566006502444,4.86887841252109,3.37588986656411e-06,0.00019006711663191,4.22487539069312
virus_comp_18196_cycle_1_8,0.107144113456793,1.52272149641676,4.93337745036925,3.5334507787774e-06,0.00019006711663191,4.21161460992387
edge_1990_1,0.0651402558913264,1.18397109127665,4.75241881765866,3.30032931838454e-06,0.00019006711663191,4.18769034723867
virus_comp_2475_cycle_5_12,0.0955371956445481,1.46935598786044,4.8544295753556,3.5334569888336e-06,0.00019006711663191,4.17172907770509
edge_1989_50,0.0786345178810476,1.21426277836183,4.82452215243656,3.71459153324529e-06,0.000190930004808808,4.12266341018949
virus_comp_285_cycle_1_1,0.0865681412114157,1.30461423841788,4.78389506137182,3.62390761830107e-06,0.000190502234571145,4.11954917865529
virus_comp_593_cycle_1_27,0.0882631795703382,1.27436554425659,4.96162944523858,4.25356122187115e-06,0.00019742380147242,4.05868927505887
