"","01_GEMM_001_12M","01_GEMM_001_18M","01_GEMM_001_24M","01_GEMM_001_30M","01_GEMM_001_36M","01_GEMM_001_48M","01_GEMM_001_60M","01_GEMM_006_12M","01_GEMM_006_18M","01_GEMM_006_24M","01_GEMM_006_30M","01_GEMM_006_36M","01_GEMM_006_48M","01_GEMM_006_60M","01_GEMM_006_72M","01_GEMM_006_84M","01_GEMM_009_12M","01_GEMM_009_18M","01_GEMM_009_24M","01_GEMM_009_30M","01_GEMM_009_36M","01_GEMM_009_48M","01_GEMM_009_60M","01_GEMM_009_72M","01_GEMM_009_84M","01_GEMM_011_12M","01_GEMM_011_18M","01_GEMM_011_24M","01_GEMM_011_30M","01_GEMM_011_36M","01_GEMM_011_48M","01_GEMM_011_60M","01_GEMM_011_72M","01_GEMM_011_84M","01_GEMM_014_12M","01_GEMM_014_18M","01_GEMM_014_24M","01_GEMM_014_30M","01_GEMM_014_36M","01_GEMM_014_48M","01_GEMM_016_12M","01_GEMM_016_18M","01_GEMM_016_24M","01_GEMM_016_30M","01_GEMM_016_36M","01_GEMM_016_48M","01_GEMM_019_12M","01_GEMM_019_18M","01_GEMM_019_24M","01_GEMM_019_30M","01_GEMM_019_36M","01_GEMM_019_48M","01_GEMM_019_60M","01_GEMM_026_12M","01_GEMM_026_18M","01_GEMM_026_24M","01_GEMM_026_30M","01_GEMM_026_36M","01_GEMM_026_48M","01_GEMM_026_60M","01_GEMM_041_12M","01_GEMM_041_18M","01_GEMM_041_24M","01_GEMM_041_30M","01_GEMM_052_12M","01_GEMM_052_18M","01_GEMM_052_24M","01_GEMM_052_30M","01_GEMM_052_36M","01_GEMM_052_48M","01_GEMM_052_60M","01_GEMM_053_12M","01_GEMM_053_18M","01_GEMM_053_24M","01_GEMM_057_12M","01_GEMM_057_18M","01_GEMM_057_24M","01_GEMM_057_30M","01_GEMM_057_36M","01_GEMM_057_48M","01_GEMM_060_12M","01_GEMM_060_18M","01_GEMM_060_24M","01_GEMM_060_30M","01_GEMM_060_36M","01_GEMM_060_48M","01_GEMM_060_60M","01_GEMM_061_12M","01_GEMM_061_18M","01_GEMM_061_24M","01_GEMM_061_30M","01_GEMM_061_36M","01_GEMM_061_48M","01_GEMM_061_60M","01_GEMM_061_72M","01_GEMM_061_84M","01_GEMM_062_12M","01_GEMM_062_18M","01_GEMM_062_24M","01_GEMM_062_30M","01_GEMM_062_36M","01_GEMM_062_48M","01_GEMM_068_12M","01_GEMM_068_18M","01_GEMM_068_24M","01_GEMM_068_30M","01_GEMM_068_36M","01_GEMM_068_48M","01_GEMM_068_60M","01_GEMM_079_12M","01_GEMM_079_18M","01_GEMM_079_24M","01_GEMM_079_30M","01_GEMM_079_36M","01_GEMM_079_48M","01_GEMM_079_60M","01_GEMM_081_12M","01_GEMM_081_18M","01_GEMM_085_12M","01_GEMM_085_24M","01_GEMM_093_12M","01_GEMM_093_18M","01_GEMM_102_12M","01_GEMM_102_18M","01_GEMM_102_24M","01_GEMM_102_30M","01_GEMM_105_12M","01_GEMM_105_18M","01_GEMM_105_24M","01_GEMM_105_30M","01_GEMM_105_36M","01_GEMM_105_48M","01_GEMM_106_12M","01_GEMM_106_18M","01_GEMM_106_30M","01_GEMM_106_36M","01_GEMM_106_48M","01_GEMM_109_12M","01_GEMM_109_18M","01_GEMM_109_24M","01_GEMM_109_30M","01_GEMM_109_36M","01_GEMM_109_48M","01_GEMM_119_12M","01_GEMM_119_18M","01_GEMM_119_24M","01_GEMM_128_12M","01_GEMM_128_18M","01_GEMM_128_24M","01_GEMM_128_30M","01_GEMM_128_36M","01_GEMM_128_48M","01_GEMM_128_60M","01_GEMM_139_12M","01_GEMM_139_18M","01_GEMM_150_12M","01_GEMM_150_18M","01_GEMM_150_24M","01_GEMM_150_30M","01_GEMM_150_36M","01_GEMM_150_48M","01_GEMM_151_12M","01_GEMM_151_18M","01_GEMM_151_24M","01_GEMM_151_30M","01_GEMM_151_36M","01_GEMM_151_48M","01_GEMM_151_54M","01_GEMM_152_12M","01_GEMM_152_18M","01_GEMM_152_24M","01_GEMM_152_30M","01_GEMM_152_36M","01_GEMM_152_48M","01_GEMM_152_54M","01_GEMM_154_12M","01_GEMM_154_18M","01_GEMM_154_24M","01_GEMM_154_36M","01_GEMM_154_48M","01_GEMM_154_60M","01_GEMM_175_12M","01_GEMM_175_18M","01_GEMM_175_24M","01_GEMM_175_30M","01_GEMM_175_36M","01_GEMM_175_48M","01_GEMM_179_12M","01_GEMM_179_18M","01_GEMM_179_24M","01_GEMM_179_30M","01_GEMM_179_36M","01_GEMM_179_48M"
"contig_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0
"contig_10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"contig_100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"contig_10003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"contig_10005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"contig_10008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"contig_10009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0
"contig_10012",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"contig_10014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"contig_10015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
