,01_GEMM_001_12M,01_GEMM_001_18M,01_GEMM_001_24M,01_GEMM_001_30M,01_GEMM_001_36M,01_GEMM_001_48M,01_GEMM_001_60M,01_GEMM_006_12M,01_GEMM_006_18M,01_GEMM_006_24M,01_GEMM_006_30M,01_GEMM_006_36M,01_GEMM_006_48M,01_GEMM_006_60M,01_GEMM_006_72M,01_GEMM_006_84M,01_GEMM_009_12M,01_GEMM_009_18M,01_GEMM_009_24M,01_GEMM_009_30M,01_GEMM_009_36M,01_GEMM_009_48M,01_GEMM_009_60M,01_GEMM_009_72M,01_GEMM_009_84M,01_GEMM_011_12M,01_GEMM_011_18M,01_GEMM_011_24M,01_GEMM_011_30M,01_GEMM_011_36M,01_GEMM_011_48M,01_GEMM_011_60M,01_GEMM_011_72M,01_GEMM_011_84M,01_GEMM_014_12M,01_GEMM_014_18M,01_GEMM_014_24M,01_GEMM_014_30M,01_GEMM_014_36M,01_GEMM_014_48M,01_GEMM_016_12M,01_GEMM_016_18M,01_GEMM_016_24M,01_GEMM_016_30M,01_GEMM_016_36M,01_GEMM_016_48M,01_GEMM_019_12M,01_GEMM_019_18M,01_GEMM_019_24M,01_GEMM_019_30M,01_GEMM_019_36M,01_GEMM_019_48M,01_GEMM_019_60M,01_GEMM_026_12M,01_GEMM_026_18M,01_GEMM_026_24M,01_GEMM_026_30M,01_GEMM_026_36M,01_GEMM_026_48M,01_GEMM_026_60M,01_GEMM_041_12M,01_GEMM_041_18M,01_GEMM_041_24M,01_GEMM_041_30M,01_GEMM_052_12M,01_GEMM_052_18M,01_GEMM_052_24M,01_GEMM_052_30M,01_GEMM_052_36M,01_GEMM_052_48M,01_GEMM_052_60M,01_GEMM_053_12M,01_GEMM_053_18M,01_GEMM_053_24M,01_GEMM_057_12M,01_GEMM_057_18M,01_GEMM_057_24M,01_GEMM_057_30M,01_GEMM_057_36M,01_GEMM_057_48M,01_GEMM_057_60M,01_GEMM_060_12M,01_GEMM_060_18M,01_GEMM_060_24M,01_GEMM_060_30M,01_GEMM_060_36M,01_GEMM_060_48M,01_GEMM_060_60M,01_GEMM_061_12M,01_GEMM_061_18M,01_GEMM_061_24M,01_GEMM_061_30M,01_GEMM_061_36M,01_GEMM_061_48M,01_GEMM_061_60M,01_GEMM_061_72M,01_GEMM_061_84M,01_GEMM_062_12M,01_GEMM_062_18M,01_GEMM_062_24M,01_GEMM_062_30M,01_GEMM_062_36M,01_GEMM_062_48M,01_GEMM_068_12M,01_GEMM_068_18M,01_GEMM_068_24M,01_GEMM_068_30M,01_GEMM_068_36M,01_GEMM_068_48M,01_GEMM_068_60M,01_GEMM_079_12M,01_GEMM_079_18M,01_GEMM_079_24M,01_GEMM_079_30M,01_GEMM_079_36M,01_GEMM_079_48M,01_GEMM_079_60M,01_GEMM_081_12M,01_GEMM_081_18M,01_GEMM_085_12M,01_GEMM_085_24M,01_GEMM_093_12M,01_GEMM_093_18M,01_GEMM_102_12M,01_GEMM_102_18M,01_GEMM_102_24M,01_GEMM_102_30M,01_GEMM_105_12M,01_GEMM_105_18M,01_GEMM_105_24M,01_GEMM_105_30M,01_GEMM_105_36M,01_GEMM_105_48M,01_GEMM_106_12M,01_GEMM_106_18M,01_GEMM_106_24M,01_GEMM_106_30M,01_GEMM_106_36M,01_GEMM_106_48M,01_GEMM_109_12M,01_GEMM_109_18M,01_GEMM_109_24M,01_GEMM_109_30M,01_GEMM_109_36M,01_GEMM_109_48M,01_GEMM_119_12M,01_GEMM_119_18M,01_GEMM_119_24M,01_GEMM_119_30M,01_GEMM_128_12M,01_GEMM_128_18M,01_GEMM_128_24M,01_GEMM_128_30M,01_GEMM_128_36M,01_GEMM_128_48M,01_GEMM_128_60M,01_GEMM_139_12M,01_GEMM_139_18M,01_GEMM_150_12M,01_GEMM_150_18M,01_GEMM_150_24M,01_GEMM_150_30M,01_GEMM_150_36M,01_GEMM_150_48M,01_GEMM_151_12M,01_GEMM_151_18M,01_GEMM_151_24M,01_GEMM_151_30M,01_GEMM_151_36M,01_GEMM_151_48M,01_GEMM_151_54M,01_GEMM_152_12M,01_GEMM_152_18M,01_GEMM_152_24M,01_GEMM_152_30M,01_GEMM_152_36M,01_GEMM_152_48M,01_GEMM_152_54M,01_GEMM_154_12M,01_GEMM_154_18M,01_GEMM_154_24M,01_GEMM_154_36M,01_GEMM_154_48M,01_GEMM_154_60M,01_GEMM_175_12M,01_GEMM_175_18M,01_GEMM_175_24M,01_GEMM_175_30M,01_GEMM_175_36M,01_GEMM_175_48M,01_GEMM_179_12M,01_GEMM_179_18M,01_GEMM_179_24M,01_GEMM_179_30M,01_GEMM_179_36M,01_GEMM_179_48M
virus_comp_2813_cycle_1_6,38092,836028,1049848,163154,152615,273114,577389,54303,3474,1031,650455,128651,66983,0,525,421,16999,476,95,2089,689,550,1547,32,6136,19,13,708,9338,48,631,118321,1312,176,1115945,2604355,793722,401,430,1598,214,17460420,388225,28762,549744,426902,6616,16,310,351,17,17,13,17600,15627,17,6,16,84706,2069,702985,529739,508057,21426,8027,6734,61,823,470,16,4672,4878,10,116580,74914,37003,2959,6309,0,1149,2,12855,25615,0,0,25,0,82,20630,152270,8601,185,3696,131,1395,1738,0,274206,5240,439,538,8060,278,509390,151217,4434,517070,62920,27370,47329,494311,57685,705940,174425,276451,133447,4520,8540,16880,144642,30983,134966,600,11,51,42,92,47460,14677,183,75746,1148,73915,378072,600433,110,1665647,94371,506,520,1205,698,0,1232,0,82940,68152,818,17,17375,142308,20648,41292,3227,9664,3339,427894,18459,199510,40,387,386,93,0,45,22665,0,72,0,18,50,836767,598,3843,4909,28449,173,0,14,18,64,487,1364,528,147856,424,6212,30952,37,0,112,0,0,62,43,891
virus_comp_18378_cycle_1_1,0,0,38548,1327,391,1921,869,90194,2632,0,385,867,110,0,77,0,0,0,0,0,0,0,566,57,882,0,18,0,0,0,0,4154,748,0,0,2800,3247,416,0,358,0,15152,4902,0,1140,2468,0,0,967,0,0,0,0,0,472,0,89,0,0,0,0,18972,9596,9453,2151,1548,0,0,0,0,11140,0,0,1969,0,620,405,1331,0,0,0,299,0,0,0,0,0,151,0,5090,0,733,4855,0,2771,4762,0,5535,840,201,1502,474,75,0,0,10845,25695,0,149491,146594,0,0,3263,70833,1068,1953,1904,0,0,0,1180,0,6562,0,0,0,0,0,0,0,1970,748,5584,0,0,0,3203,118522,310,0,1242,761,0,351,0,0,498,0,0,12833,9262,4930,1871,996,390,3662,0,2692,9773,0,0,536,233,0,0,1179,124,0,0,0,18,0,0,0,964,11457,0,199,114,0,0,0,1786,3011,0,0,1454,0,251,0,0,0,0,0,134,1305
virus_comp_2455_cycle_1_11,0,0,0,217981,107977,1427,2669,59662,0,0,62,660,0,0,96,119,0,0,0,3328,0,0,237,0,90,0,0,0,0,0,0,725,1156,0,494,0,19918,0,0,57,0,7386,5256,3217,0,39665,0,8,188,410,0,0,0,0,468,0,19,20,0,0,151,1011,1964,5666,0,0,0,0,0,0,2173,0,18,1001,0,0,0,0,0,617,0,0,0,0,0,0,0,0,0,0,0,28,626,31,227,3582,0,0,0,103,1242,0,0,0,34716,23009,16756,20777,40546,88141,0,412,3771,40225,1611,5879,291,0,0,0,538,2767,0,0,0,0,17,0,0,0,10906,2534,306950,312,0,0,0,38874,227,0,117,0,0,0,0,0,344,0,0,0,54682,2890,1065,0,912,0,0,0,3379,0,0,112,0,0,0,0,0,0,23,0,0,1065,0,0,0,4133,0,0,21,27,0,114,563,0,0,0,704,454,32,0,0,0,0,0,0,165
virus_comp_14463_cycle_1_1,0,0,0,3094,793,13273,93,0,0,0,0,0,0,0,0,1151,34,893,1254,1249,806,1801,3081,7783,0,16,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,515,314,0,3761,539,0,0,0,0,0,0,0,0,0,0,0,0,307,0,0,1670,0,0,0,0,2504,74,0,2870,1091,6,129,49,735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4466,1337,2,0,219,12683,1968,230,730,156,0,0,0,0,0,0,0,0,13,6,0,1272,14212,0,7,96,5929,4473,17,0,0,0,0,0,0
virus_comp_5117_cycle_1_1,0,0,0,10112,26610,111221,707,0,53,0,0,0,0,0,0,15349,193,3091,8152,26055,18516,30423,7062,50598,0,52,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1999,2467,0,29298,9016,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,3635,0,0,0,0,2547,337,0,8980,1034,41,1504,255,26205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138959,11328,49,0,1934,84640,10502,4687,461,21711,0,0,0,0,0,0,0,0,143,15,0,2386,24363,0,0,466,9113,16047,89,0,0,0,0,0,0
virus_comp_16559_cycle_1_3,0,0,0,1619,2568,13438,86,0,0,0,0,0,0,0,0,1834,38,2015,2268,903,2051,3112,812,4670,0,34,3,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,194,0,1086,504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,707,0,0,0,0,1218,140,4,5910,861,33,436,88,2454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7338,1369,0,0,512,15996,1707,226,367,693,0,0,0,0,0,0,0,0,13,0,0,390,8107,0,2,210,4076,14352,16,0,0,0,0,0,0
virus_comp_8074_cycle_1_1,1,0,0,4196,10343,26309,291,0,0,0,0,0,0,0,0,4592,69,1791,1544,3628,11663,5978,3234,23013,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,724,546,0,5799,1169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2170,0,0,0,0,1772,422,2,8237,654,30,935,129,9082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88830,2466,4,0,1523,52574,4903,2085,2010,8967,0,0,0,0,0,0,0,0,33,2,0,2293,18536,0,0,237,2499,11606,27,0,0,0,0,0,0
virus_comp_5117_cycle_1_4,0,0,0,3378,3882,20221,117,0,0,0,0,0,0,0,0,28368,64,1288,1577,1590,144,22396,3619,4708,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,803,709,0,4385,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4372,0,0,0,0,2009,259,0,4220,877,18,638,117,2266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51944,3196,7,0,694,56698,6761,1230,312,7547,0,0,0,0,0,0,0,0,41,8,0,2367,14914,0,13,303,6226,11322,34,0,0,0,0,0,0
virus_comp_103_cycle_1_4,0,0,0,12063,6370,41793,645,0,0,0,0,0,0,0,0,9564,658,4001,5505,7923,4372,15272,14094,60111,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2566,2612,0,23464,10094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8094,0,0,0,0,21091,7068,0,13475,1582,51,2878,302,29650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27794,10286,27,0,2315,73606,6702,4928,1610,3888,0,0,0,0,0,0,0,0,69,12,0,16988,165727,0,58,3712,45955,83477,259,0,0,0,0,0,0
virus_comp_15228_cycle_1_1,0,0,0,144,439,2447,7,0,3,0,0,0,0,0,0,414,7,276,456,360,71,430,73,1860,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,14,0,475,100,0,0,0,0,0,0,0,0,0,0,0,0,14364,0,0,269,0,0,0,0,92,11,0,272,41,4,71,17,1063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,758,172,1,0,214,2558,486,38,50,74,0,0,0,0,0,0,0,0,4,0,0,143,723,0,0,21,728,1929,3,0,0,0,0,0,0
