"orf_id","effect","component","group","term","estimate","std.error","statistic","p.value","conf.low","conf.high","p.adj"
"edge_1468_16","fixed","cond",NA,"(Intercept)",-1.51423922869194,1.02981340509806,-1.47040155157793,0.141453031405266,-3.5326364134807,0.504157956096815,0.276047734015124
"edge_1468_16","fixed","cond",NA,"Dx.StatusCELIAC",-0.213733714519641,1.31566413507761,-0.162453097885072,0.870949060043907,-2.79238803502279,2.36492060598351,0.99999815537046
"edge_1468_16","fixed","cond",NA,"onset_timeline_combinedt0-6",0.0519056377649999,1.36790368661649,0.03794538919139,0.969731223747281,-2.62913632232288,2.73294759785288,1
"edge_1468_16","fixed","cond",NA,"onset_timeline_combinedt0-12",0.212408832468446,1.0941009332168,0.194140070645892,0.846066206626885,-1.93198959208815,2.35680725702504,0.999999487920115
"edge_1468_16","fixed","cond",NA,"onset_timeline_combinedt0-18",-0.192537805534379,1.33590637609291,-0.144125223877955,0.885401586888161,-2.81086618939391,2.42579057832515,0.99999957892161
"edge_1468_16","fixed","cond",NA,"onset_timeline_combinedt0-24",-0.269853825294798,1.30820852795248,-0.206277378207552,0.836574248119133,-2.83389542434981,2.29418777376022,0.999999612567736
"edge_1468_16","fixed","cond",NA,"onset_timeline_combinedt0-30",0.978864401950532,1.12832455816911,0.867537974657663,0.385647314274463,-1.23261109493299,3.19033989883406,0.999998470747374
"edge_1468_16","fixed","cond",NA,"onset_timeline_combinedt0-36",0.793155453989181,1.11989016658835,0.708243966821732,0.478793767040773,-1.40178893916454,2.9880998471429,0.999998937194166
"edge_1468_16","fixed","cond",NA,"onset_timeline_combinedt0-over42",-19.3045061156252,15462.5190025778,-0.00124847097115333,0.999003864546282,-30325.2848614344,30286.6758492031,0.999988207252115
"edge_1468_16","fixed","cond",NA,"SexMale",-0.483525324343352,0.836843561764714,-0.577796551751807,0.563401483612298,-2.12370856609641,1.15665791740971,1
"edge_1468_16","fixed","cond",NA,"Age.at.Gluten.Introduction..months.",-0.0342763472190044,0.0809759908938897,-0.42329024740086,0.67208350892402,-0.192986372983472,0.124433678545463,0.994158282234546
"edge_1468_16","fixed","cond",NA,"HLA.CategoryHigh Risk",-1.87290956878694,0.865505662793453,-2.16394837064619,0.0304683120295651,-3.56926949627758,-0.176549641296309,0.625596395429871
"edge_1468_16","fixed","cond",NA,"HLA.CategoryLow/No Risk",0.407001666688146,1.01141370000511,0.40240869456889,0.687383272298814,-1.57533275879226,2.38933609216856,0.999991450774889
"edge_1468_16","fixed","cond",NA,"feeding_first_yearFormula",0.602775952733433,0.843551838347639,0.714568951582346,0.474875435741541,-1.05055526952049,2.25610717498736,0.999988438781578
"edge_1468_16","fixed","cond",NA,"feeding_first_yearBreastmilk_and_formula",-0.560031072679107,0.69857810903229,-0.80167280571516,0.422742250469197,-1.92921900677049,0.809156861412276,0.997211400898701
