"contig_id","effect","component","group","term","estimate","std.error","statistic","p.value","conf.low","conf.high","p.adj"
"virus_comp_103_cycle_1","fixed","cond",NA,"(Intercept)",-10.3381567658568,5.27251621633408,-1.96076338918211,0.0499066306545811,-20.672098657775,-0.00421487393864162,0.0665421742061082
"virus_comp_103_cycle_1","fixed","cond",NA,"Dx.StatusCELIAC",-1.30092608588373,3.72450762892224,-0.349288071202091,0.726873052993093,-8.60082689871599,5.99897472694854,0.897141310429395
"virus_comp_103_cycle_1","fixed","cond",NA,"onset_timeline_combinedt0-6",1.03894809099544,3.82830033039508,0.2713862553433,0.786093972167403,-6.4643826785817,8.54227886057258,0.99936446030488
"virus_comp_103_cycle_1","fixed","cond",NA,"onset_timeline_combinedt0-12",-7.00322079646642,3.67225912342769,-1.90706062973291,0.0565127367213541,-14.2007164202833,0.194274827350478,0.150700631256944
"virus_comp_103_cycle_1","fixed","cond",NA,"onset_timeline_combinedt0-18",-3.02210779699402,9.37500892615751,-0.322357858088214,0.747181605965329,-21.3967876470043,15.3525720530162,0.999989488589519
"virus_comp_103_cycle_1","fixed","cond",NA,"onset_timeline_combinedt0-24",-31.0859206115033,19168.8277497234,-0.00162169126966837,0.998706078140687,-37601.2979359214,37539.1260946984,0.999094900925549
"virus_comp_103_cycle_1","fixed","cond",NA,"onset_timeline_combinedt0-30",-31.195687002322,25130.4574148383,-0.00124134974892667,0.999009546455148,-49285.9871351029,49223.5957610983,0.999862345843037
"virus_comp_103_cycle_1","fixed","cond",NA,"onset_timeline_combinedt0-36",-31.3288324268361,21644.4324634719,-0.00144743145747564,0.998845117190517,-42453.6369266412,42390.9792617876,0.999044101053875
"virus_comp_103_cycle_1","fixed","cond",NA,"onset_timeline_combinedt0-over42",-9.82057098780482,4.82082651619895,-2.03711354366429,0.0416386649809591,-19.2692173352705,-0.371924640339182,0.145005773841401
"virus_comp_103_cycle_1","fixed","cond",NA,"SexMale",0.65290264365665,3.31350117115799,0.197043130492837,0.84379378610428,-5.84144031454429,7.1472456018576,0.936200741372379
"virus_comp_103_cycle_1","fixed","cond",NA,"Age.at.Gluten.Introduction..months.",0.159897811939085,0.377652676840852,0.423399122380556,0.672004085087241,-0.58028783333413,0.900083457212299,0.672004085087241
"virus_comp_103_cycle_1","fixed","cond",NA,"HLA.CategoryHigh Risk",2.12668415788035,3.32500455683338,0.639603381447914,0.522430483556742,-4.39020502194463,8.64357333770533,0.730260788088232
"virus_comp_103_cycle_1","fixed","cond",NA,"HLA.CategoryLow/No Risk",-0.0461609604442471,5.10335825968483,-0.00904521260224006,0.992783062925626,-10.0485593496315,9.95623742874303,0.99501547131841
"virus_comp_103_cycle_1","fixed","cond",NA,"feeding_first_yearFormula",-1.79601237376339,4.74914449470687,-0.378175980066542,0.705299867899462,-11.1041645407655,7.51213979323874,0.983835508340325
"virus_comp_103_cycle_1","fixed","cond",NA,"feeding_first_yearBreastmilk_and_formula",0.815994008636611,3.47957837917899,0.234509449052602,0.814589498412074,-6.00385429593847,7.63584231321169,0.970865301500554
"virus_comp_103_cycle_1","fixed","cond",NA,"Delivery.ModeC-Section",4.10749215604886,8.43042868694441,0.487222217110957,0.626100862530365,-12.4158444445955,20.6308287566932,0.73164901453653
"virus_comp_103_cycle_1","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-6",0.217441731111169,7.26854510195651,0.0299154408566081,0.976134491338254,-14.0286448887286,14.463528350951,0.999993904043189
"virus_comp_103_cycle_1","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-12",9.7771897071836,4.49566410238303,2.17480431912184,0.0296447832977886,0.965849979923279,18.5885294344439,0.0592895665955771
"virus_comp_103_cycle_1","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-18",6.275001090613,9.91990642449057,0.632566560821692,0.527016729564697,-13.167658231396,25.717660412622,0.945149993220193
"virus_comp_103_cycle_1","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-24",31.1243853988957,19168.8278006988,0.00162369789757102,0.998704477085372,-37539.0877298209,37601.3365006187,0.999962894735302
"virus_comp_103_cycle_1","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-30",29.3306464490066,25130.4574513358,0.00116713539758694,0.999068760897322,-49225.4608731855,49284.1221660835,0.999934249453664
"virus_comp_103_cycle_1","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-36",28.1126509894019,21644.4324989829,0.00129883982824326,0.998963676045466,-42394.1955128253,42450.4208148042,0.999043822666991
"virus_comp_103_cycle_1","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-over42",7.14587883642325,4.95984978769892,1.44074501089649,0.1496567336799,-2.57524811619526,16.8670057890418,0.415860815964008
"virus_comp_13180_cycle_1","fixed","cond",NA,"(Intercept)",-12.4898000311133,5.26355265052199,-2.37288403106876,0.0176498045292576,-22.8061736568667,-2.17342640535986,0.0624224080882976
"virus_comp_13180_cycle_1","fixed","cond",NA,"Dx.StatusCELIAC",-1.07446307689423,3.93849152180948,-0.272810813720017,0.78499864662572,-8.79376461305716,6.64483845926869,0.897141310429395
"virus_comp_13180_cycle_1","fixed","cond",NA,"onset_timeline_combinedt0-6",-14.2068120859836,10297.6765644212,-0.00137961335230402,0.998899228155508,-20197.2820027936,20168.8683786216,0.99936446030488
"virus_comp_13180_cycle_1","fixed","cond",NA,"onset_timeline_combinedt0-12",0.0648751987555377,1.97678439715208,0.0328185505961106,0.973819284943994,-3.80955102486326,3.93930142237434,0.999759515226721
"virus_comp_13180_cycle_1","fixed","cond",NA,"onset_timeline_combinedt0-18",-39.8736367900487,3026668.8978833,-1.31740993598389e-05,0.999989488589519,-5932201.9066156,5932122.15934202,0.999989488589519
"virus_comp_13180_cycle_1","fixed","cond",NA,"onset_timeline_combinedt0-24",0.0613232968129881,1.97495515731134,0.0310504755442003,0.975229285394872,-3.80951768259888,3.93216427622486,0.999094900925549
"virus_comp_13180_cycle_1","fixed","cond",NA,"onset_timeline_combinedt0-30",1.81026815731146,2.57556060408165,0.702863739429237,0.482140670444848,-3.23773786668881,6.85827418131172,0.999862345843037
"virus_comp_13180_cycle_1","fixed","cond",NA,"onset_timeline_combinedt0-36",0.0559379909057091,1.97227051303846,0.0283622305033256,0.977373247766163,-3.80964118242001,3.92151716423142,0.999044101053875
"virus_comp_13180_cycle_1","fixed","cond",NA,"onset_timeline_combinedt0-over42",-30.0005287304239,2803266.52822304,-1.07019894214058e-05,0.999991461047871,-5494331.43491253,5494271.43385507,0.999991461047871
"virus_comp_13180_cycle_1","fixed","cond",NA,"SexMale",-0.679638074000617,3.09934814823403,-0.219284198320175,0.826428670281983,-6.75424882009021,5.39497267208898,0.936200741372379
"virus_comp_13180_cycle_1","fixed","cond",NA,"Age.at.Gluten.Introduction..months.",0.399194136009934,0.291085361362653,1.37139887124929,0.170250649151201,-0.171322688687692,0.969710960707561,0.672004085087241
"virus_comp_13180_cycle_1","fixed","cond",NA,"HLA.CategoryHigh Risk",0.949009522986096,2.74106407592624,0.346219386595482,0.729177846245908,-4.4233773451459,6.32139639111809,0.730260788088232
"virus_comp_13180_cycle_1","fixed","cond",NA,"HLA.CategoryLow/No Risk",0.214126813699126,5.28838249435711,0.0404900390483492,0.967702448218657,-10.1509124117129,10.5791660391111,0.99501547131841
"virus_comp_13180_cycle_1","fixed","cond",NA,"feeding_first_yearFormula",0.0770237382877978,3.8016566573268,0.020260571963897,0.983835508340325,-7.37408639165967,7.52813386823526,0.983835508340325
